round_epochs,val_loss,loss,regularizer,Dropout,hidden_layers,hidden_nodes,epochs,patience
28,13.81907041846605,12.816725948523827,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,1,150,500,5
22,14.345649009644198,14.057315212953942,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,2,200,1000,3
62,14.003210792440852,12.031503566124162,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,2,200,500,10
18,13.592462558545035,13.263304481419944,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,2,200,500,3
39,13.28947878512984,12.755266101012008,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,2,200,1000,10
74,13.631502316306323,12.623821077098393,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,1,200,1000,10
26,13.685752986918024,13.231593945288306,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,0,75,500,3
84,13.718899817454155,12.327187456064019,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,2,75,500,10
32,14.463522007723283,13.772012934679353,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,1,200,500,5
57,13.674112989279715,12.286756550064172,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,1,150,500,10
31,14.025549410515536,13.626964546410981,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,0,75,1000,3
18,13.702581108717302,13.036109779591198,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,1,150,1000,5
45,13.93256288593866,13.352786771573404,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,2,75,1000,10
50,13.879441034825307,13.28172993956984,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,0,75,500,10
27,13.301183339473754,12.658173522214792,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,1,200,1000,3
62,13.424269039586855,12.038295102146447,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,2,75,500,10
31,14.128363420592134,13.496264638069126,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,1,150,500,5
16,14.368608599287853,13.997853434639365,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,2,75,500,3
44,13.673938643020186,12.971772720967657,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,0,75,500,10
27,15.045224811282196,12.510480064227924,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,2,150,500,10
18,14.907181493210604,14.098732549768883,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,1,200,1000,3
50,13.55832994456027,12.939091763436997,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,1,200,500,10
13,14.263092307742479,13.533260326018285,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,1,150,500,3
32,14.126165291879296,13.026475189226264,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,1,200,1000,10
32,13.813628309949406,13.059851526539026,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,0,150,500,10
17,13.57912203378602,13.01395614446897,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,1,200,500,3
31,13.71191546910671,13.098236441477239,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,0,200,1000,5
31,13.683534563059542,12.693143865125231,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,1,150,1000,10
66,13.664142869078704,12.99147140399246,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,1,75,500,10
33,14.102682684845535,13.57358426172898,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,1,150,500,10
32,14.49100227657912,13.829321996271947,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,2,75,500,3
41,14.195638477959545,13.207957805620584,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,1,75,1000,5
18,13.863742658519493,13.481300187677922,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,0,150,500,3
43,13.802593495411735,12.853784022217834,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,1,150,1000,10
21,14.561469931086638,14.174022722082256,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,2,75,1000,3
14,14.707906524235467,14.664255509425127,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,2,150,1000,3
21,14.901076123079083,14.49234130833454,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,2,150,1000,3
74,14.03939895831186,12.913383932102848,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,2,75,1000,10
17,14.688762126308632,14.14624863491728,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,1,200,500,3
41,14.081550731507958,13.416878541490634,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,0,200,500,5
61,13.726929795458952,12.006425080996003,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,2,75,1000,10
18,14.865374051801133,14.51030207490327,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,2,75,1000,5
50,13.719997136762714,12.863848304964543,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,0,75,1000,5
19,14.745898901000816,14.289582136938282,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,2,150,500,3
