round_epochs,val_loss,loss,regularizer,lambda,Dropout,hidden_layers,hidden_nodes,epochs
300,14.34558578154028,11.506622824231469,<function l1 at 0x1a25311bf8>,0.005,0.1,2,150,300
1000,14.695400943856756,12.858094257514582,<function l1 at 0x1a25311bf8>,0.005,0.5,1,200,1000
500,14.609700289753937,11.98688939635643,<function l1 at 0x1a25311bf8>,0.005,0.25,2,150,500
500,17.806256475423446,16.33216209238815,<function l1 at 0x1a25311bf8>,0.1,0.5,1,50,500
500,14.855837369028055,13.064393001396551,<function l1 at 0x1a25311bf8>,0.005,0.5,2,200,500
1000,15.127409655689249,10.495618454057254,<function l1 at 0x1a25311bf8>,0.005,0.1,2,50,1000
1000,14.303397904599876,12.017488134001821,<function l1 at 0x1a25311bf8>,0.01,0.1,0,100,1000
1000,16.71289402450924,15.417829513549805,<function l1 at 0x1a25311bf8>,0.05,0.25,2,150,1000
500,14.464945882480189,12.954139973002139,<function l1 at 0x1a25311bf8>,0.005,0.5,0,50,500
1000,14.126585460904407,11.806717255917437,<function l1 at 0x1a25311bf8>,0.005,0.1,0,50,1000
1000,14.54752438552776,12.013064843476966,<function l1 at 0x1a25311bf8>,0.005,0.25,1,50,1000
300,14.317627321761641,11.953391164777504,<function l1 at 0x1a25311bf8>,0.005,0.1,1,50,300
500,14.22356327353807,12.094967514850275,<function l1 at 0x1a25311bf8>,0.005,0.25,0,150,500
1000,15.87883876307344,14.122905601596509,<function l1 at 0x1a25311bf8>,0.05,0.1,3,100,1000
1000,15.46331118279208,12.154607351611991,<function l1 at 0x1a25311bf8>,0.01,0.1,3,100,1000
1000,14.919612640441251,11.493763052053657,<function l1 at 0x1a25311bf8>,0.005,0.25,3,100,1000
500,18.72387129901896,16.46548286839763,<function l1 at 0x1a25311bf8>,0.1,0.5,3,100,500
500,18.77352611119011,16.522108949594294,<function l1 at 0x1a25311bf8>,0.1,0.25,2,150,500
500,16.96632676137154,15.446745375679681,<function l1 at 0x1a25311bf8>,0.05,0.25,3,100,500
500,17.022681691715775,15.402575526340092,<function l1 at 0x1a25311bf8>,0.1,0.5,0,150,500
500,18.51082115123014,16.21176504305778,<function l1 at 0x1a25311bf8>,0.1,0.25,1,200,500
500,16.3538470834415,14.995039403101057,<function l1 at 0x1a25311bf8>,0.05,0.25,1,100,500
500,15.182671485286903,13.497274799498129,<function l1 at 0x1a25311bf8>,0.01,0.5,2,100,500
1000,17.561391588880394,16.331067538882436,<function l1 at 0x1a25311bf8>,0.05,0.5,2,150,1000
500,14.388636573952546,12.399616234974845,<function l1 at 0x1a25311bf8>,0.01,0.1,1,150,500
1000,15.198344141323522,11.992640273352306,<function l1 at 0x1a25311bf8>,0.01,0.1,2,200,1000
300,15.247889689845586,13.682359094932963,<function l1 at 0x1a25311bf8>,0.005,0.5,3,200,300
500,16.68305482839217,15.060185051180364,<function l1 at 0x1a25311bf8>,0.1,0.25,0,200,500
